HS2002,SITCR2
291535,51372
291539,51372
291540,51379
291550,51379
291560,51379
291570,51379
291590,51379
291611,51379
291612,51379
291613,51373
291614,51373
291615,51379
291619,51379
291620,51379
291631,51379
291632,51379
291634,51379
291635,51379
291639,51379
291711,51389
291712,51389
291713,51389
291714,51381
291719,51389
291720,51389
291731,51389
291732,51383
291733,51389
291734,51389
291735,51382
291736,51389
291737,51384
291739,51389
291811,5139
291812,5139
291813,5139
291814,5139
291815,5139
291816,5139
291819,5139
291821,5139
291822,5139
291823,5139
291829,5139
291830,5139
291890,5139
291900,51631
292010,51639
292090,51639
292111,5145
292112,5145
292119,5145
292121,5145
292122,5145
292129,5145
292130,5145
292141,5145
292142,5145
292143,5145
292144,5145
292145,5145
292146,5145
292149,5145
292151,5145
292159,5145
292211,5146
292212,5146
292213,5146
292214,5146
292219,5146
292221,5146
292222,5146
292229,5146
292231,5146
292239,5146
292241,5146
292242,5146
292243,5146
292244,5146
292249,5146
292250,5146
292310,51481
292320,51481
292390,51481
292411,5147
292419,5147
292421,5147
292423,5147
292424,5147
292429,5147
292511,51482
292512,51482
292519,51482
292520,51482
292610,51483
292620,51484
292630,51484
292690,51484
292700,51485
292800,51486
292910,51489
292990,51489
293010,5154
293020,5154
293030,5154
293040,5154
293090,5154
293100,5155
293211,51569
293212,51569
293213,51569
293219,51569
293221,51569
293229,51569
293291,51569
293292,51569
293293,51569
293294,51569
293295,51569
293299,51569
293311,51569
293319,51569
293321,5147
293329,51569
293331,51569
293332,51569
293333,51569
293339,51569
293341,51569
293349,51569
293352,51482
293353,51482
293354,51482
293355,51482
293359,51569
293361,51569
293369,51569
293371,51561
293372,51561
293379,51561
293391,51482
293399,51482
293410,51569
293420,51569
293430,51569
293491,51569
293499,51569
293500,51571
293610,5411
293621,5411
293622,5411
293623,5411
293624,5411
293625,5411
293626,5411
293627,5411
293628,5411
293629,5411
293690,5411
293711,54152
293712,54151
293719,5415
293721,54153
293722,54153
293723,54159
293729,54153
293731,54159
293739,54159
293740,54159
293750,5139
293790,54159
293810,54161
293890,54161
293911,5414
293919,5414
293921,5414
293929,5414
293930,5414
293941,5414
293942,5414
293943,5414
293949,5414
293951,5414
293959,5414
293961,5414
293962,5414
293963,5414
293969,5414
293991,5414
293999,5414
294000,51692
294110,54131
294120,54132
294130,54133
294140,54139
294150,54139
294190,54139
294200,51699
300110,54162
300120,54162
300190,54162
300210,54164
300220,54164
300230,54164
300290,54162
300310,54171
300320,54171
300331,54172
300339,54172
300340,54173
300390,54179
300410,54171
300420,54171
300431,54172
300432,54172
300439,54172
300440,54173
300450,54179
300490,54179
300510,54191
300590,54191
300610,54199
300620,54199
300630,54199
300640,54199
300650,54199
300660,54172
300670,59899
300680,5419
310100,2711
310210,56216
310221,56213
310229,56212
310230,56211
310240,56219
310250,2712
310260,56219
310270,56215
310280,56219
310290,56219
310310,56222
310320,56221
310390,56229
310410,2714
310420,56231
310430,56232
310490,56239
310510,56299
310520,56291
310530,56292
310540,56292
310551,56292
310559,56292
310560,56299
310590,56299
320110,53221
320120,53221
320190,53221
320210,5323
320290,5323
320300,53222
320411,5311
320412,5311
320413,5311
320414,5311
320415,5311
320416,5311
320417,5311
320419,5311
320420,53121
320490,53121
320500,53122
320611,5331
320619,5331
320620,5331
320630,5331
320641,5331
320642,5331
320643,5331
320649,5331
320650,5331
320710,53351
320720,53351
320730,53351
320740,53351
320810,53342
320820,53342
320890,53342
320910,53341
320990,53341
321000,53342
321100,53353
321210,53344
321290,53343
321310,53352
321390,53352
321410,53354
321490,53354
321511,5332
321519,5332
321590,89591
330111,5513
330112,5513
330113,5513
330114,5513
330119,5513
330121,5513
330122,5513
330123,5513
330124,5513
330125,5513
330126,5513
330129,5513
330130,5513
330190,5513
330210,5514
330290,5514
330300,5530
330410,5530
330420,5530
330430,5530
330491,5530
330499,5530
330510,5530
330520,5530
330530,5530
330590,5530
330610,5530
330620,5530
330690,5530
330710,5530
330720,5530
330730,5530
330741,5530
330749,5530
330790,5530
340111,5541
340119,5541
340120,5541
340130,5542
340211,5542
340212,5542
340213,5542
340219,5542
340220,5542
340290,5542
340311,33452
340319,33452
340391,33452
340399,33452
340410,59831
340420,59831
340490,59831
340510,5543
340520,5543
340530,5543
340540,5543
340590,5543
340600,89931
340700,59895
350110,59221
350190,59221
350211,59222
350219,59222
350220,59222
350290,59222
350300,59223
350400,59224
350510,59225
350520,59225
350610,59229
350691,59229
350699,59229
350710,51691
350790,51691
360100,57211
360200,57212
360300,5722
360410,5723
360490,5723
360500,89932
360610,89939
360690,89939
370110,88221
370120,88221
370130,88221
370191,88221
370199,88221
370210,88222
370220,88222
370231,88222
370232,88222
370239,88222
370241,88222
370242,88222
370243,88222
370244,88222
370251,88222
370252,88222
370253,88222
370254,88222
370255,88222
370256,88222
370291,88222
